"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","Mock"
"otu 100 ",0,0,0,0,0,0,0,0,67,0,27,0,54,0,0,0,0,0,0,0
"otu 101 ",0,0,10,6,0,0,0,14,14,19,60,23,0,0,0,0,0,0,0,0
"otu 102 ",0,0,9,0,6,10,14,13,0,23,42,12,0,0,6,11,0,0,0,0
"otu 103 ",0,4,8,0,0,3,5,14,11,9,23,11,19,6,6,5,0,9,8,0
"otu 104 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
"otu 105 ",0,0,20,0,6,6,0,16,30,15,0,9,23,0,0,0,0,0,0,0
"otu 106 ",13,0,0,0,0,0,9,0,21,14,0,0,36,15,0,0,0,0,11,0
"otu 107 ",4,7,0,0,0,0,0,0,0,0,0,0,32,2,0,19,8,26,19,0
"otu 108 ",0,0,0,0,0,8,0,0,25,0,24,14,0,0,12,14,0,17,0,0
"otu 109 ",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,112
"otu 110 ",22,0,0,0,0,0,0,8,0,0,5,0,16,0,0,24,0,14,24,0
"otu 111 ",0,0,7,0,0,0,4,0,0,0,0,14,0,0,26,30,0,0,32,0
"otu 112 ",9,17,0,0,0,0,0,0,0,0,0,0,46,0,12,11,0,12,0,0
"otu 113 ",0,0,14,5,6,3,10,14,0,15,24,10,0,0,6,0,0,0,0,0
"otu 114 ",0,8,0,0,0,0,0,0,0,0,0,0,26,5,11,29,7,11,8,0
"otu 115 ",0,0,0,0,0,0,0,13,16,6,41,23,0,0,0,0,0,0,0,0
"otu 116 ",7,24,11,0,0,0,0,0,0,0,19,8,21,0,0,0,0,7,0,0
"otu 117 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
"otu 118 ",19,24,0,0,0,0,0,0,0,0,0,0,32,0,0,0,11,10,0,0
"otu 119 ",0,0,0,11,0,12,16,11,11,12,0,9,0,0,0,0,2,11,0,0
